NO,STORE ID,매장명,지점명,도로명 주소
1,,NC백화점,야탑점 1층,경기도 성남시 분당구 야탑동 532-5
2,,NC백화점,야탑점 2층,경기도 성남시 분당구 야탑동 532-5
3,,NC백화점,야탑점 3층,경기도 성남시 분당구 야탑동 532-5
4,,NC백화점,야탑점 4층,경기도 성남시 분당구 야탑동 532-5
5,,NC백화점,야탑점 5층,경기도 성남시 분당구 야탑동 532-5
6,,NC백화점,수원터미널점,경기도 수원시 권선구 권선동 1189
7,,NC백화점,수원터미널점 1층,경기도 수원시 권선구 권선동 1189
8,,NC백화점,수원터미널점 B1층,경기도 수원시 권선구 권선동 1189
