NO,STORE ID,매장명,지점명,도로명 주소
1,,GS25,가산태양점,서울 금천구 시흥대로153길89
2,,GS25,감천한우리점,부산 사하구 원양로402
3,,GS25,감천한일점,부산 사하구 원양로324
4,,GS25,개봉당곡점,서울 구로구 개봉로11길7
5,,GS25,힐탑점,서울 강남구 논현로642
