NO,STORE ID,매장명,지점명,도로명 주소
1,,CU,시청광장점,서울특별시 중구 을지로 6
2,,CU,중구무교점,서울특별시 중구 다동길 16
3,,CU,한화빌딩점,서울특별시 중구 세종대로92
4,,CU,소공프라자점,서울특별시 중구 세종대로18길 36
5,,CU,타워플러스점,인천광역시 남동구 구월남로 148
6,,CU,구월타운점,인천광역시 남동구 인주대로591번길 64
7,,CU,영통호원점,경기도 수원시 영통구 반달로 31
